family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed,multi_source
rows_x_log_support,1,support_set,0.037808433476385093,0.02748984868704343,0.026823285328531968,0.2729175435365918,0.024247618315397495,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.7525,0.77375,23,0,1
rows_x_log_support,1,compute_metered,0.4519213194448781,0.1630435480856641,0.16199323480697608,0.6392213841870966,0.006441918683811796,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.8525,0.87375,80,0,1
rows_x_log_support,1,monopoly_per_asset,1.0,0.2871203034378324,0.3080885293606021,0.7128796965621675,-0.07302940848037158,0.22032242305813385,0.31981981981981983,0.1922021939853595,0.9860746913960929,0.3875,0.61375,71,0,1
rows_x_log_support,1,monotone_constrained,0.9250070843446903,0.2764471740426822,0.2764471740426822,0.7011404791147867,0.0,0.0,0.0,0.0,0.0,0.21875,0.21875,0,0,0
rows_x_log_support,2,uniform,0.3882584245418847,0.8129160763845711,0.8129160763845711,-1.09375,0.0,0.0,0.0,0.0,0.0,0.08375,0.08375,0,0,0
rows_x_log_support,2,size_proportional,0.4647317673540422,0.8938708913270258,0.8938708913270258,-0.9234125018315276,0.0,0.0,0.0,0.0,0.0,0.97375,0.97375,0,0,0
rows_x_log_support,2,support_set,0.029886347088000913,0.0360399783201103,0.03550719281304347,-0.2059010829925083,0.014783180565054104,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.89125,0.9425,23,0,1
rows_x_log_support,2,compute_metered,0.2846913291164851,0.651026767636833,0.6487107161433403,-1.2867811592900922,0.003557536507907002,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.885,0.9275,80,0,1
rows_x_log_support,2,monopoly_per_asset,1.0,0.40624093890341234,0.41311946746518013,0.5937590610965877,-0.016932140272064675,0.2164142647777235,0.33783783783783783,0.1819430461814687,0.9715375746939982,0.4275,0.60125,75,0,0
rows_x_log_support,2,monotone_constrained,0.9620093795723812,0.3983007162794823,0.3983007162794823,0.5859700282168462,0.0,0.0,0.0,0.0,0.0,0.33875,0.33875,0,0,0
rows_x_log_support,3,uniform,0.42229057244266927,0.5679080112160035,0.5679080112160035,-0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.04875,0.04875,0,0,0
