queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.004,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.062,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.006,1,1,1.0
1,1,2,0.003,0,1,0.5
1,1,27,0.237,0,1,0.04
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,2,0.003,0,1,0.5
1,1,1,0.015,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.0,0,1,0.5
1,1,1,0.0,1,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.002,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.002,0,1,0.5
1,1,2,0.0,0,1,0.5
1,1,2,0.005,0,1,0.5
1,1,2,0.0,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.015,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.01,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.002,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.007,0,1,0.5
1,1,2,0.004,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.005,0,1,1.0
1,1,1,0.012,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.11,0,1,1.0
1,1,4,0.0,0,1,0.25
1,1,1,0.002,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.021,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.01,0,1,1.0
1,1,1,0.074,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.001,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,2,0.0,0,1,0.5
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
1,1,1,0.0,0,1,1.0
