market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,qirana_weighted_coverage,0.0,2.861695206094459,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,querymarket_viewcover,0.9329713867310152,2.704053991078549,0.7225,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,monopoly_per_asset,1.0097079933662338,2.221121238747149,0.5175,0.22887323943661972,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,chawla_ubp,1.095754156705752,1.9020019386732157,0.265,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,1.0,chawla_lpip,0.0,2.861695206094459,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,uniform,1.1407269770701316,2.5935519243900034,0.405,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,qirana_weighted_coverage,0.0,3.0811760971633055,1.0,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,querymarket_viewcover,0.9818802304591003,2.760010523748146,0.5975,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,monopoly_per_asset,1.1114733392430334,1.9400539621080264,0.3825,0.2746478873239437,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,chawla_ubp,1.2124392345595352,2.1805903149992543,0.29,0.0,ok
"('t', ('1123', 'table_table s14.csv'))",81,284.0,0.0,81.0,answer_cells,2.0,chawla_lpip,0.0,3.0811760971633055,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,uniform,0.7573360997562452,1.5436984781100145,0.4075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,qirana_weighted_coverage,0.0,2.011856554292368,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,querymarket_viewcover,0.5541817993534295,1.758186541574504,0.6,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,monopoly_per_asset,0.7231579291935263,1.3775300569019422,0.435,0.3389830508474576,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,chawla_ubp,0.7580877656645171,1.5436984781100145,0.4075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,0.0,chawla_lpip,0.0,2.011856554292368,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,uniform,0.8455073200925094,1.6319375837125747,0.4325,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,qirana_weighted_coverage,0.0,2.1178365493663014,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,querymarket_viewcover,0.7100483350701613,1.9562657682812208,0.7075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,monopoly_per_asset,0.7841753761301624,1.5359197006223178,0.485,0.3163841807909605,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,chawla_ubp,0.8277694414839181,1.571842663485766,0.4025,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,1.0,chawla_lpip,0.0,2.1178365493663014,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,uniform,0.9256579602027558,2.1085362690066316,0.475,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,qirana_weighted_coverage,0.0,2.5151697196215954,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,querymarket_viewcover,0.9258493676117932,2.1781521766885668,0.56,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,monopoly_per_asset,0.9510481448833039,1.8759512559842075,0.58,0.2994350282485876,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,chawla_ubp,0.9268178284147708,2.108536269006632,0.475,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,support_rows,2.0,chawla_lpip,0.0,2.5151697196215954,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,uniform,0.7573360997562452,1.5436984781100145,0.4075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,qirana_weighted_coverage,0.0,2.011856554292368,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,querymarket_viewcover,0.5541817993534295,1.758186541574504,0.6,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,monopoly_per_asset,0.7231579291935263,1.3775300569019422,0.435,0.3389830508474576,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,chawla_ubp,0.7580877656645171,1.5436984781100145,0.4075,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,0.0,chawla_lpip,0.0,2.011856554292368,1.0,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,uniform,0.8455073200925094,1.6319375837125747,0.4325,0.0,ok
"('t', ('1059', 'table_sfl.csvf3e8d'))",47,177.0,0.0,47.0,answer_cells,1.0,qirana_weighted_coverage,0.0,2.1178365493663014,1.0,0.0,ok
